label,text_1,text_2,text_1_norm,text_2_norm
0,Полицейским разрешат стрелять на поражение по гражданам с травматикой.,Полиции могут разрешить стрелять по хулиганам с травматикой.,полицейский_NOUN разрешать_VERB стрелять_VERB на_ADP поражение_NOUN по_ADP гражданин_NOUN с_ADP травматика_NOUN,полиция_NOUN мочь_VERB разрешать_VERB стрелять_VERB по_ADP хулиган_NOUN с_ADP травматика_NOUN
0,Право полицейских на проникновение в жилище решили ограничить.,Правила внесудебного проникновения полицейских в жилище уточнят.,право_ADV полицейский_NOUN на_ADP проникновение_NOUN в_ADP жилище_NOUN решать_VERB ограничивать_VERB,правило_NOUN внесудебный_ADJ проникновение_NOUN полицейский_NOUN в_ADP жилище_NOUN уточнять_VERB
0,Президент Египта ввел чрезвычайное положение в мятежных городах.,Власти Египта угрожают ввести в стране чрезвычайное положение.,президент_NOUN египет_NOUN вводить_VERB чрезвычайный_ADJ положение_NOUN в_ADP мятежный_ADJ город_NOUN,власть_NOUN египет_NOUN угрожать_VERB вводить_VERB в_ADP страна_NOUN чрезвычайный_ADJ положение_NOUN
-1,Вернувшихся из Сирии россиян волнует вопрос трудоустройства на родине.,Самолеты МЧС вывезут россиян из разрушенной Сирии.,вернуться_VERB из_ADP сирия_NOUN россиянин_NOUN волновать_VERB вопрос_NOUN трудоустройство_NOUN на_ADP родина_NOUN,самолет_NOUN мчс_NOUN вывозить_VERB россиянин_NOUN из_ADP разрушать_VERB сирия_NOUN
0,В Москву из Сирии вернулись 2 самолета МЧС с россиянами на борту.,Самолеты МЧС вывезут россиян из разрушенной Сирии.,в_ADP москва_NOUN из_ADP сирия_NOUN вернуться_VERB самолет_NOUN мчс_NOUN с_ADP россиянин_NOUN на_ADP борт_NOUN,самолет_NOUN мчс_NOUN вывозить_VERB россиянин_NOUN из_ADP разрушать_VERB сирия_NOUN
1,Приставы соберут отпечатки пальцев российских должников.,Приставы снимут отпечатки пальцев у злостных неплательщиков.,пристав_NOUN собирать_VERB отпечаток_NOUN палец_NOUN российский_ADJ должник_NOUN,пристав_NOUN снимать_VERB отпечаток_NOUN палец_NOUN у_ADP злостный_ADJ неплательщик_NOUN
-1,На саратовского дебошира с борта самолета Москва - Хургада заведено дело.,Саратовский дебошир отказывается возвращаться домой из Египта.,на_ADP саратовский_ADJ дебошир_NOUN с_ADP борт_NOUN самолет_NOUN москва_NOUN хургада_NOUN заводить_VERB дело_NOUN,саратовский_ADJ дебошир_NOUN отказываться_VERB возвращаться_VERB домой_ADV из_ADP египет_NOUN
0,ЦИК хочет отказаться от электронной системы подсчета голосов.,ЦИК может отказаться от электронных средств подсчета голосов.,цик_NOUN хотеть_VERB отказываться_VERB от_ADP электронный_ADJ система_NOUN подсчет_NOUN голос_NOUN,цик_NOUN мочь_VERB отказываться_VERB от_ADP электронный_ADJ средство_NOUN подсчет_NOUN голос_NOUN
-1,Суд Петербурга оставил на потом дело о гибели подростка в полиции.,"Лондонский Гайд-парк - это не место для митингов, а прежде всего парк.",суд_NOUN петербург_NOUN оставлять_VERB на_ADP потом_ADV дело_NOUN о_ADP гибель_NOUN подросток_NOUN в_ADP полиция_NOUN,лондонский_ADJ гайд_NOUN парк_NOUN это_PART не_PART место_NOUN для_ADP митинг_NOUN а_SCONJ прежде_ADP все_PRON парк_NOUN
-1,Страны ОПЕК сократили добычу нефти на 1 млн баррелей в день.,Обама продлил полномочия НАСА по сотрудничеству с Россией.,страна_NOUN опек_NOUN сокращать_VERB добыча_NOUN нефть_NOUN на_ADP млн_X баррель_NOUN в_ADP день_NOUN,обама_NOUN продлять_VERB полномочие_NOUN нас_NOUN по_ADP сотрудничество_NOUN с_ADP россия_NOUN
1,Москвичи смогут забронировать в Интернете место на кладбище.,В Москве можно будет забронировать место на кладбище через интернет.,москвич_NOUN смочь_VERB забронировать_VERB в_ADP интернет_NOUN место_NOUN на_ADP кладбище_NOUN,в_ADP москва_NOUN можно_ADV быть_VERB забронировать_VERB место_NOUN на_ADP кладбище_NOUN через_ADP интернет_NOUN
-1,Въезд в центр Москвы автомобилям с двигателями Евро-2 не запрещали.,Сборная России пробилась в плей-офф чемпионата мира по хоккею с мячом.,въезд_NOUN в_ADP центр_NOUN москва_NOUN автомобиль_NOUN с_ADP двигатель_NOUN евро_NOUN не_PART запрещать_VERB,сборная_NOUN россия_NOUN пробиваться_VERB в_ADP плей-офф_NOUN чемпионат_NOUN мир_NOUN по_ADP хоккей_NOUN с_ADP мяч_NOUN
0,В Подмосковье произошел пожар на железной дороге.,В Подмосковье загорелись цистерны с бензином.,в_ADP подмосковье_NOUN происходить_VERB пожар_NOUN на_ADP железный_ADJ дорога_NOUN,в_ADP подмосковье_NOUN загораться_VERB цистерна_NOUN с_ADP бензин_NOUN
1,Северокорейский лидер впервые за 19 лет поздравил граждан с Новым годом.,Лидер КНДР впервые за 19 лет поздравил сограждан с Новым годом.,северокорейский_ADJ лидер_NOUN впервые_ADV за_ADP год_NOUN поздравлять_VERB гражданин_NOUN с_ADP новый_ADJ год_NOUN,лидер_NOUN кндр_NOUN впервые_ADV за_ADP год_NOUN поздравлять_VERB согражданин_NOUN с_ADP новый_ADJ год_NOUN
1,Мужчина из Подмосковья случайно убил жену в Новый год.,Житель Подмосковья случайно убил жену на новогоднем застолье.,мужчина_NOUN из_ADP подмосковье_NOUN случайно_ADV убивать_VERB жена_NOUN в_ADP новый_ADJ год_NOUN,житель_NOUN подмосковье_NOUN случайно_ADV убивать_VERB жена_NOUN на_ADP новогодний_ADJ застолье_NOUN
